rank,identifier,onnx_op_type,onnx_op_name,tensor_name,tflite_tensor_name,mapped_tflite_tensor_name,mapping_source,status,reason,onnx_shape,tflite_shape_raw,onnx_dtype,tflite_dtype_raw,allclose,alignment_mode,alignment_perm,max_abs,mean_abs,rmse,cosine_similarity
1,8,BatchNormalization,wa/tcn/tcn.0/bn2/BatchNormalization,wa/tcn/tcn.0/bn2/BatchNormalization_output_0,wa/tcn/tcn.0/relu2/Relu_output_0,wa/tcn/tcn.0/relu2/Relu_output_0,tensor_correspondence_report,compared,,"[1, 64, 500]","[1, 64, 500]",float32,float32,False,identity,[],8.297151565551758,0.5415205965481072,0.9421205223173117,0.6180651414609502
2,4,BatchNormalization,wa/tcn/tcn.0/bn1/BatchNormalization,wa/tcn/tcn.0/bn1/BatchNormalization_output_0,wa/tcn/tcn.0/relu1/Relu_output_0,wa/tcn/tcn.0/relu1/Relu_output_0,tensor_correspondence_report,compared,,"[1, 64, 500]","[1, 64, 500]",float32,float32,False,identity,[],7.448891639709473,0.507515983968071,0.960729511366185,0.7336294685596703
3,42,Add,wa/tcn/tcn.3/Add,wa/tcn/tcn.3/Add_output_0,wa/tcn/tcn.3/final_relu/Relu_output_0,wa/tcn/tcn.3/final_relu/Relu_output_0,tensor_correspondence_report,compared,,"[1, 256, 500]","[1, 256, 500]",float32,float32,False,identity,[],5.598130702972412,1.0138053176626436,1.2897566372871117,0.28016945114503805
4,25,BatchNormalization,wa/tcn/tcn.2/bn1/BatchNormalization,wa/tcn/tcn.2/bn1/BatchNormalization_output_0,wa/tcn/tcn.2/relu1/Relu_output_0,wa/tcn/tcn.2/relu1/Relu_output_0,tensor_correspondence_report,compared,,"[1, 128, 500]","[1, 128, 500]",float32,float32,False,identity,[],5.480319976806641,0.24330796781030223,0.48540129172455004,0.7586643976813465
5,21,Add,wa/tcn/tcn.1/Add,wa/tcn/tcn.1/Add_output_0,wa/tcn/tcn.1/final_relu/Relu_output_0,wa/tcn/tcn.1/final_relu/Relu_output_0,tensor_correspondence_report,compared,,"[1, 128, 500]","[1, 128, 500]",float32,float32,False,identity,[],5.256924629211426,0.5608364882242349,0.8847714505794878,0.5905904735634911
6,15,BatchNormalization,wa/tcn/tcn.1/bn1/BatchNormalization,wa/tcn/tcn.1/bn1/BatchNormalization_output_0,wa/tcn/tcn.1/relu1/Relu_output_0,wa/tcn/tcn.1/relu1/Relu_output_0,tensor_correspondence_report,compared,,"[1, 128, 500]","[1, 128, 500]",float32,float32,False,identity,[],4.700469017028809,0.5981965055864784,0.9394691304781924,0.486542247500487
7,40,BatchNormalization,wa/tcn/tcn.3/bn2/BatchNormalization,wa/tcn/tcn.3/bn2/BatchNormalization_output_0,wa/tcn/tcn.3/relu2/Relu_output_0,wa/tcn/tcn.3/relu2/Relu_output_0,tensor_correspondence_report,compared,,"[1, 256, 500]","[1, 256, 500]",float32,float32,False,identity,[],4.656426906585693,0.3250382929443567,0.6133331540434106,0.7919884834912791
8,29,BatchNormalization,wa/tcn/tcn.2/bn2/BatchNormalization,wa/tcn/tcn.2/bn2/BatchNormalization_output_0,wa/tcn/tcn.2/relu2/Relu_output_0,wa/tcn/tcn.2/relu2/Relu_output_0,tensor_correspondence_report,compared,,"[1, 128, 500]","[1, 128, 500]",float32,float32,False,identity,[],4.610564708709717,0.372470168954329,0.6328925637659567,0.6721584217746556
9,36,BatchNormalization,wa/tcn/tcn.3/bn1/BatchNormalization,wa/tcn/tcn.3/bn1/BatchNormalization_output_0,wa/tcn/tcn.3/relu1/Relu_output_0,wa/tcn/tcn.3/relu1/Relu_output_0,tensor_correspondence_report,compared,,"[1, 256, 500]","[1, 256, 500]",float32,float32,False,identity,[],4.302343845367432,0.3211749215256241,0.5866089826397278,0.6553615337627743
10,19,BatchNormalization,wa/tcn/tcn.1/bn2/BatchNormalization,wa/tcn/tcn.1/bn2/BatchNormalization_output_0,wa/tcn/tcn.1/relu2/Relu_output_0,wa/tcn/tcn.1/relu2/Relu_output_0,tensor_correspondence_report,compared,,"[1, 128, 500]","[1, 128, 500]",float32,float32,False,identity,[],3.7536733150482178,0.2890782286532267,0.520091771708093,0.7071897395914594
